Paper_No.,Mix_ID,Cement,Fly Ash,Silica Fume,Metakaolin,Nano Clay,Water,Fine Aggregate,Superplasticizer,VMA,Accelerator,Retarder,Fiber Type,Fiber Length (mm),Fiber Volume Fraction,Water/Binder Ratio,Open Time,Static Yield Stress,Dynamic Yield Stress,Plastic Viscosity,Rheometer,Printable,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 45,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,45,1352,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 60,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,60,1368,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 75,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,75,1425,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 90,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,90,1450,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 105,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,105,1472,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 120,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,120,1456,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 1.2 135,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.13,0.502,135,1472,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 0,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,0,1674,NULL,NULL,Shear vane test,No,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 15,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,15,1352,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 30,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,30,1402,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 45,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,45,1435,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 60,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,60,1460,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA 30 - SP 0.2 - PP 2.4 75,435,172,0,0,0,305,1205,0.2,0,0,0,PP,6,0.26,0.502,75,1482,NULL,NULL,Shear vane test,No,,,,,,,,
14,REF-MTK15-SP0.44-PP1.2,516,0,0,91,0,305,1225,0.44,0,0,0,PP,6,0.13,0.502,0,1464,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA30-MTK15-SP0.44-PP1.2,334,182,0,91,0,305,1180,0.44,0,0,0,PP,6,0.13,0.502,0,1444,NULL,NULL,Shear vane test,Yes,,,,,,,,
14,FA30-MTK10-SP0.44-PP1.2,364,182,0,61,0,305,1184,0.44,0,0,0,PP,6,0.13,0.502,0,1369,NULL,NULL,Shear vane test,Yes,,,,,,,,
